"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Rivera, Emmanuel",656896,"BAL","SI","Sinker",-0.5,-1,"234",20.3,"71","0.286","0.357","0.336",13.3,18.3,21.3,"0.257","0.348","0.341",44.7
"Kelly, Carson",608348,"TEX","SI","Sinker",0.2,0,"234",19.9,"71","0.213","0.328","0.299",12.2,8.5,15,"0.229","0.362","0.317",34.5
"Lee, Korey",686676,"CWS","SI","Sinker",-1.7,-3,"194",13.6,"71","0.269","0.403","0.318",16.8,14.1,21.7,"0.243","0.361","0.285",40.4
"Meneses, Joey",608841,"WSH","SI","Sinker",-0.9,-2,"232",20.3,"71","0.27","0.286","0.289",10.6,9.9,13,"0.227","0.265","0.27",42.1
"Drury, Brandon",592273,"LAA","SI","Sinker",-1,-3,"244",17.5,"71","0.15","0.233","0.311",14.9,11.3,19.5,"0.201","0.347","0.309",38.5
"Moreno, Gabriel",672515,"AZ","SI","Sinker",-0.7,-2,"347",22.7,"71","0.203","0.356","0.316",14.8,16.9,16.7,"0.256","0.437","0.365",46.8
"Solano, Donovan",456781,"SD","SI","Sinker",0.3,1,"250",19.6,"70","0.308","0.369","0.345",14.9,15.7,16.9,"0.249","0.35","0.289",50
"Freeman, Tyler",671289,"CLE","SI","Sinker",-1.7,-4,"237",17.2,"70","0.22","0.322","0.315",12.4,15.7,23.9,"0.23","0.298","0.298",40.8
"Marsh, Brandon",669016,"PHI","SI","Sinker",0.3,1,"270",13.5,"69","0.271","0.356","0.331",9.6,14.5,15.6,"0.307","0.449","0.375",50
"DeLuca, Jonny",676356,"TB","SI","Sinker",-1,-2,"237",17.6,"69","0.27","0.46","0.359",16.4,20.3,22.6,"0.257","0.356","0.304",38.8
"Rojas, Johan",679032,"PHI","SI","Sinker",-1.4,-4,"277",20.8,"69","0.238","0.27","0.274",15.4,14.5,17.2,"0.221","0.262","0.235",26.8
"Cowser, Colton",681297,"BAL","SI","Sinker",-0.9,-3,"306",13.2,"68","0.262","0.459","0.347",21.9,29.4,29.9,"0.265","0.445","0.344",51.2
"Campusano, Luis",669134,"SD","SI","Sinker",-1.9,-5,"246",24,"68","0.2","0.308","0.257",9.3,7.4,14.7,"0.208","0.291","0.238",30
"Andujar, Miguel",609280,"OAK","SI","Sinker",-0.4,-1,"241",20.5,"68","0.283","0.383","0.351",9.6,7.4,14.7,"0.249","0.322","0.303",40
"Tellez, Rowdy",642133,"PIT","SI","Sinker",1.8,4,"233",14,"68","0.311","0.475","0.366",4.5,8.8,12.8,"0.292","0.437","0.342",41.1
"Laureano, Ramón",657656,"ATL","SI","Sinker",0.9,2,"232",19.7,"68","0.263","0.474","0.402",12.6,16.2,20,"0.272","0.467","0.38",37
"Jansen, Danny",643376,"BOS","SI","Sinker",0.1,0,"247",18,"68","0.295","0.475","0.382",11.4,8.8,11.8,"0.27","0.413","0.336",34.5
"Santana, Carlos",467793,"MIN","SI","Sinker",-2,-5,"257",10.6,"67","0.214","0.286","0.298",13.3,9,10.3,"0.285","0.466","0.385",52
"Bride, Jonah",681146,"MIA","SI","Sinker",-1.4,-3,"237",20.5,"67","0.254","0.475","0.345",14.7,22.4,23.4,"0.258","0.385","0.33",37.8
"Harris II, Michael",671739,"ATL","SI","Sinker",-2.7,-6,"239",14.2,"67","0.21","0.258","0.27",11.9,9,14.3,"0.254","0.336","0.294",46.4
"Rogers, Jake",668670,"DET","SI","Sinker",-3.1,-7,"241",19.2,"67","0.127","0.175","0.181",16.7,13.4,23.7,"0.226","0.334","0.268",33.3
"Jiménez, Eloy",650391,"BAL","SI","Sinker",-2.6,-5,"213",17.7,"66","0.246","0.311","0.283",13.4,13.6,22.5,"0.241","0.305","0.276",50
"Conforto, Michael",624424,"SF","SI","Sinker",3.4,7,"216",11,"66","0.323","0.613","0.434",13.3,15.2,20,"0.314","0.555","0.391",59.6
"Fitzgerald, Tyler",666149,"SF","SI","Sinker",2,5,"240",18,"65","0.321","0.547","0.486",15.1,16.9,18.3,"0.291","0.445","0.388",33.3
"Urías, Ramón",602104,"BAL","SI","Sinker",0.5,1,"231",20.1,"65","0.333","0.533","0.398",22.2,12.3,16.7,"0.349","0.59","0.423",59.6
"Singleton, Jon",572138,"HOU","SI","Sinker",-0.1,0,"188",11.6,"65","0.241","0.448","0.353",16.9,20,28.3,"0.243","0.484","0.343",41.3
"Rojas, Miguel",500743,"LAD","SI","Sinker",1.7,4,"236",19.5,"65","0.411","0.536","0.45",3.2,3.1,4.9,"0.326","0.405","0.366",32.7
"Raley, Luke",670042,"SEA","SI","Sinker",1.8,4,"212",12.4,"65","0.302","0.566","0.414",19.6,16.9,24.4,"0.267","0.473","0.373",31.8
"Rendon, Anthony",543685,"LAA","SI","Sinker",1.4,3,"192",19.7,"64","0.356","0.424","0.381",4.5,6.3,10,"0.302","0.384","0.322",44.6
"Yelich, Christian",592885,"MIL","SI","Sinker",1.6,3,"205",16.2,"64","0.333","0.458","0.436",14,10.9,16.3,"0.297","0.42","0.405",50
"Refsnyder, Rob",608701,"BOS","SI","Sinker",0,0,"214",17.8,"64","0.317","0.45","0.362",14.5,12.5,18.2,"0.266","0.366","0.302",36.5
"Higashioka, Kyle",543309,"SD","SI","Sinker",-2.2,-5,"218",20.5,"64","0.224","0.345","0.302",15,17.2,21.6,"0.258","0.405","0.323",42.6
"Butler, Lawrence",671732,"OAK","SI","Sinker",-2.8,-6,"212",11.7,"64","0.23","0.393","0.303",13.9,25,30.8,"0.187","0.239","0.216",37
"Taveras, Leody",665750,"TEX","SI","Sinker",-0.8,-2,"241",12,"63","0.189","0.208","0.293",12,9.5,14,"0.285","0.354","0.348",31.9
"Bart, Joey",663698,"PIT","SI","Sinker",-2.2,-6,"254",22.5,"63","0.222","0.333","0.306",15.8,22.2,22.2,"0.254","0.408","0.346",37.5
"Kelenic, Jarred",672284,"ATL","SI","Sinker",-1.5,-4,"231",13.1,"63","0.268","0.357","0.321",21,11.1,14.6,"0.292","0.454","0.362",34.7
"Fraley, Jake",641584,"CIN","SI","Sinker",-0.9,-2,"176",13.2,"63","0.296","0.352","0.346",13.3,9.5,14.6,"0.29","0.359","0.345",27.1
"Rosario, Amed",642708,"CIN","SI","Sinker",-3,-6,"213",17.6,"63","0.2","0.233","0.259",15.3,14.3,21.4,"0.264","0.347","0.289",39.2
"Siri, Jose",642350,"TB","SI","Sinker",-0.8,-2,"266",14.9,"62","0.189","0.321","0.287",23.6,21,20.6,"0.265","0.383","0.343",40
"Alvarez, Francisco",682626,"NYM","SI","Sinker",0.5,1,"249",18.7,"62","0.309","0.473","0.407",18.7,19.4,20.7,"0.278","0.435","0.351",48.8
"Perkins, Blake",663368,"MIL","SI","Sinker",-1,-3,"264",15.2,"61","0.191","0.277","0.331",18.3,19.7,17.9,"0.246","0.389","0.37",48.6
"Wood, James",695578,"WSH","SI","Sinker",-0.5,-1,"243",17.3,"60","0.216","0.353","0.317",15.5,20,22.6,"0.273","0.357","0.342",56.4
"Tauchman, Mike",643565,"CHC","SI","Sinker",-1.2,-3,"219",14.2,"60","0.245","0.34","0.307",19.6,18.3,21.2,"0.275","0.454","0.357",52.4
"Benson, Will",666181,"CIN","SI","Sinker",-1,-2,"226",13.6,"60","0.291","0.527","0.377",26.1,25,26.8,"0.264","0.504","0.355",32.5
"Buxton, Byron",621439,"MIN","SI","Sinker",0.8,2,"225",15.4,"60","0.278","0.481","0.361",23.6,16.7,19.2,"0.272","0.53","0.376",47.7
"Duvall, Adam",594807,"ATL","SI","Sinker",-1.7,-4,"228",18.2,"59","0.232","0.375","0.329",10.8,18.6,25.6,"0.308","0.547","0.383",44.4
